No.,Time,Source,Target,Length,Info,Payload
1399,90.107207,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1400,91.006398,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1405,91.906734,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1406,92.810388,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1409,93.706092,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1412,94.606015,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1425,95.506341,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1426,96.406274,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1427,97.306312,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1428,98.206592,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1429,99.107769,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1430,100.006866,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1431,100.906409,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
